862	4077
3142	4077
3375	4078
1414	4078
2420	4078
511	4078
403	4078
2952	4078
2055	4078
3323	4078
979	4079
126	4079
381	4080
3789	4080
2714	4080
1321	4080
2504	4080
1061	4080
2088	4080
992	4080
306	4080
1948	4080
126	4080
2440	4081
126	4081
152	4082
1248	4082
3259	4082
805	4082
1168	4082
3409	4082
3275	4082
816	4082
2955	4082
321	4083
2706	4083
2730	4083
948	4083
1602	4084
1559	4084
1602	4085
3899	4085
626	4086
2664	4086
1391	4086
2008	4086
199	4086
2857	4086
3573	4086
732	4086
1764	4086
2021	4086
1556	4086
520	4086
1290	4086
3455	4086
215	4086
4025	4086
937	4086
1703	4086
144	4086
999	4086
746	4086
401	4086
3389	4086
2816	4086
587	4086
2565	4086
622	4086
2879	4086
3650	4086
2824	4086
1848	4086
2254	4086
237	4086
960	4086
3741	4086
246	4086
3097	4086
3337	4086
1261	4086
2128	4086
2264	4086
3726	4086
771	4086
2590	4086
3154	4086
3994	4086
3794	4086
838	4086
2134	4086
3430	4086
1743	4086
1605	4086
3523	4087
2098	4087
1115	4087
345	4087
2685	4088
848	4088
723	4089
2202	4089
1684	4089
3422	4089
1360	4089
1567	4089
3656	4089
1387	4089
1617	4089
2551	4089
3870	4089
3482	4089
2999	4090
170	4090
3653	4090
875	4090
3977	4090
553	4090
2749	4090
900	4090
2351	4090
1107	4090
2152	4090
46	4090
2215	4090
3662	4090
1793	4090
1275	4091
191	4091
2524	4091
1275	4092
1176	4092
665	4092
2524	4092
1964	4092
3885	4092
2690	4092
1275	4093
3354	4093
3048	4093
1850	4093
859	4093
3551	4093
2283	4093
3268	4093
2524	4093
2544	4093
557	4093
2071	4093
3187	4093
2491	4093
764	4093
2357	4093
101	4093
3606	4094
2576	4094
390	4094
2327	4095
1978	4095
1791	4095
90	4096
1118	4096
1545	4096
743	4096
1665	4096
1380	4096
3244	4096
541	4096
1383	4096
2514	4096
2409	4096
90	4097
1118	4097
953	4097
3174	4097
1665	4097
2487	4097
1380	4097
541	4097
1383	4097
3932	4097
3321	4097
2514	4097
2409	4097
1380	4098
541	4098
1383	4098
1380	4099
541	4099
790	4100
2393	4100
3439	4100
2396	4100
131	4100
3446	4100
2089	4100
2542	4100
137	4100
3371	4100
3886	4100
34	4100
2931	4100
1835	4100
3770	4100
1426	4100
1966	4100
1841	4100
2038	4100
881	4100
